Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/5/2020,AQS,260650018,1,0.032,ppm,30,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/5/2020,AQS,260810020,1,0.03,ppm,28,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/5/2020,AQS,261130001,1,0.031,ppm,29,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/5/2020,AQS,261579991,1,0.033,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/5/2020,AQS,261619991,1,0.033,ppm,31,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/5/2020,AQS,261630001,2,0.032,ppm,30,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/5/2020,AQS,261659991,1,0.033,ppm,31,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/6/2020,AQS,260650018,1,0.034,ppm,31,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/6/2020,AQS,260810020,1,0.031,ppm,29,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/6/2020,AQS,261130001,1,0.036,ppm,33,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/6/2020,AQS,261579991,1,0.034,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/6/2020,AQS,261619991,1,0.036,ppm,33,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/6/2020,AQS,261630001,2,0.032,ppm,30,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/6/2020,AQS,261659991,1,0.036,ppm,33,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/7/2020,AQS,260650018,1,0.034,ppm,31,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/7/2020,AQS,260810020,1,0.035,ppm,32,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/7/2020,AQS,261130001,1,0.035,ppm,32,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/7/2020,AQS,261579991,1,0.034,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/7/2020,AQS,261619991,1,0.035,ppm,32,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/7/2020,AQS,261630001,2,0.032,ppm,30,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/7/2020,AQS,261659991,1,0.037,ppm,34,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/8/2020,AQS,260650018,1,0.028,ppm,26,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/8/2020,AQS,261130001,1,0.035,ppm,32,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/8/2020,AQS,261579991,1,0.034,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/8/2020,AQS,261619991,1,0.03,ppm,28,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/8/2020,AQS,261630001,2,0.027,ppm,25,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/8/2020,AQS,261659991,1,0.035,ppm,32,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/9/2020,AQS,260650018,1,0.033,ppm,31,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/9/2020,AQS,261130001,1,0.026,ppm,24,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/9/2020,AQS,261579991,1,0.031,ppm,29,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/9/2020,AQS,261619991,1,0.031,ppm,29,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/9/2020,AQS,261659991,1,0.031,ppm,29,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/10/2020,AQS,260650018,1,0.024,ppm,22,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/10/2020,AQS,261130001,1,0.024,ppm,22,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/10/2020,AQS,261579991,1,0.025,ppm,23,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/10/2020,AQS,261619991,1,0.024,ppm,22,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/10/2020,AQS,261630001,2,0.026,ppm,24,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/10/2020,AQS,261659991,1,0.025,ppm,23,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/11/2020,AQS,260650018,1,0.032,ppm,30,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/11/2020,AQS,261130001,1,0.034,ppm,31,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/11/2020,AQS,261579991,1,0.034,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/11/2020,AQS,261619991,1,0.03,ppm,28,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/11/2020,AQS,261630001,2,0.027,ppm,25,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/11/2020,AQS,261659991,1,0.035,ppm,32,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/12/2020,AQS,260650018,1,0.028,ppm,26,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/12/2020,AQS,261130001,1,0.033,ppm,31,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/12/2020,AQS,261579991,1,0.035,ppm,32,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/12/2020,AQS,261619991,1,0.032,ppm,30,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/12/2020,AQS,261630001,2,0.03,ppm,28,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/12/2020,AQS,261659991,1,0.035,ppm,32,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/13/2020,AQS,260650018,1,0.021,ppm,19,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/13/2020,AQS,261130001,1,0.026,ppm,24,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/13/2020,AQS,261579991,1,0.027,ppm,25,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/13/2020,AQS,261619991,1,0.021,ppm,19,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/13/2020,AQS,261630001,2,0.02,ppm,19,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/13/2020,AQS,261659991,1,0.026,ppm,24,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/14/2020,AQS,260650018,1,0.025,ppm,23,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/14/2020,AQS,261130001,1,0.023,ppm,21,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/14/2020,AQS,261579991,1,0.025,ppm,23,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/14/2020,AQS,261619991,1,0.023,ppm,21,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/14/2020,AQS,261630001,2,0.017,ppm,16,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/14/2020,AQS,261659991,1,0.022,ppm,20,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/15/2020,AQS,260650018,1,0.024,ppm,22,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/15/2020,AQS,260810020,1,0.026,ppm,24,GR-MONROE,13,76,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/15/2020,AQS,261130001,1,0.029,ppm,27,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/15/2020,AQS,261579991,1,0.027,ppm,25,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/15/2020,AQS,261619991,1,0.024,ppm,22,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/15/2020,AQS,261630001,2,0.021,ppm,19,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/15/2020,AQS,261659991,1,0.029,ppm,27,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/16/2020,AQS,260650018,1,0.028,ppm,26,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/16/2020,AQS,260810020,1,0.026,ppm,24,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/16/2020,AQS,261130001,1,0.029,ppm,27,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/16/2020,AQS,261579991,1,0.033,ppm,31,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/16/2020,AQS,261619991,1,0.03,ppm,28,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/16/2020,AQS,261630001,2,0.026,ppm,24,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/16/2020,AQS,261659991,1,0.029,ppm,27,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/17/2020,AQS,260650018,1,0.026,ppm,24,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/17/2020,AQS,260810020,1,0.028,ppm,26,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/17/2020,AQS,261130001,1,0.03,ppm,28,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/17/2020,AQS,261579991,1,0.032,ppm,30,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/17/2020,AQS,261619991,1,0.028,ppm,26,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/17/2020,AQS,261630001,2,0.031,ppm,29,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/17/2020,AQS,261659991,1,0.032,ppm,30,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/18/2020,AQS,260650018,1,0.027,ppm,25,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/18/2020,AQS,260810020,1,0.027,ppm,25,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/18/2020,AQS,261130001,1,0.027,ppm,25,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/18/2020,AQS,261579991,1,0.027,ppm,25,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/18/2020,AQS,261619991,1,0.025,ppm,23,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/18/2020,AQS,261630001,2,0.027,ppm,25,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/18/2020,AQS,261659991,1,0.027,ppm,25,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/19/2020,AQS,260650018,1,0.03,ppm,28,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/19/2020,AQS,260810020,1,0.037,ppm,34,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/19/2020,AQS,261130001,1,0.041,ppm,38,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/19/2020,AQS,261579991,1,0.04,ppm,37,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/19/2020,AQS,261619991,1,0.034,ppm,31,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/19/2020,AQS,261630001,2,0.026,ppm,24,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/19/2020,AQS,261659991,1,0.042,ppm,39,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/20/2020,AQS,260650018,1,0.035,ppm,32,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/20/2020,AQS,260810020,1,0.034,ppm,31,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/20/2020,AQS,261130001,1,0.041,ppm,38,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/20/2020,AQS,261579991,1,0.041,ppm,38,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/20/2020,AQS,261619991,1,0.041,ppm,38,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/20/2020,AQS,261630001,2,0.033,ppm,31,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/20/2020,AQS,261659991,1,0.042,ppm,39,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/21/2020,AQS,260650018,1,0.035,ppm,32,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/21/2020,AQS,260810020,1,0.035,ppm,32,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/21/2020,AQS,261130001,1,0.039,ppm,36,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/21/2020,AQS,261579991,1,0.038,ppm,35,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/21/2020,AQS,261619991,1,0.039,ppm,36,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/21/2020,AQS,261630001,2,0.018,ppm,17,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/21/2020,AQS,261659991,1,0.04,ppm,37,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/22/2020,AQS,260650018,1,0.029,ppm,27,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/22/2020,AQS,260810020,1,0.026,ppm,24,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/22/2020,AQS,261130001,1,0.029,ppm,27,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/22/2020,AQS,261579991,1,0.032,ppm,30,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
1/22/2020,AQS,261619991,1,0.03,ppm,28,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.416636,-83.902185
1/22/2020,AQS,261630001,2,0.025,ppm,23,Allen Park,17,100,44201,Ozone,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,163,Wayne,42.22862014,-83.20820002
1/22/2020,AQS,261659991,1,0.031,ppm,29,Hoxeyville,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,165,Wexford,44.18089,-85.738985
1/23/2020,AQS,260650018,1,0.021,ppm,19,FILLEY STREET,17,100,44201,Ozone,29620,"Lansing-East Lansing, MI",26,Michigan,65,Ingham,42.76138675,-84.56277908
1/23/2020,AQS,260810020,1,0.028,ppm,26,GR-MONROE,17,100,44201,Ozone,24340,"Grand Rapids-Wyoming, MI",26,Michigan,81,Kent,42.98417304,-85.67133874
1/23/2020,AQS,261130001,1,0.026,ppm,24,LOCATED ABOUT 1/4 MILE WEST OF SITE,17,100,44201,Ozone,15620,"Cadillac, MI",26,Michigan,113,Missaukee,44.31055542,-84.89186532
1/23/2020,AQS,261579991,1,0.022,ppm,20,Unionville,17,100,44201,Ozone,,,26,Michigan,157,Tuscola,43.6138,-83.3591
